,Late Delivery Probability,Risk Category,Actual Late Delivery,Key Risk Drivers,Order Region,Customer Segment,Customer Country,Product Name,Category Name,Department Name,Shipping Mode,Order Status
113094,0.99982697,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
51193,0.99982697,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,Puerto Rico,Nike Dri-FIT Crew Sock 6 Pack,Hockey,Fitness,First Class,CLOSED
143309,0.99982685,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Central America,Consumer,EE. UU.,Under Armour Kids' Mercenary Slide,Electronics,Footwear,First Class,ON_HOLD
96398,0.99982685,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,ON_HOLD
61764,0.99982685,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West of USA ,Corporate,Puerto Rico,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,First Class,ON_HOLD
43442,0.99982685,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Home Office,EE. UU.,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Outdoors,First Class,PENDING_PAYMENT
126207,0.9998267,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Europe,Home Office,Puerto Rico,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,COMPLETE
62095,0.9998267,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,CLOSED
167410,0.9998267,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Europe,Corporate,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
11853,0.9998266,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
32968,0.9998265,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southeast Asia,Consumer,Puerto Rico,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PROCESSING
106239,0.9998265,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Corporate,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING
17736,0.9998265,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Africa,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,CLOSED
138309,0.9998264,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,CLOSED
98490,0.9998264,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
89661,0.99982625,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Home Office,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PENDING
159151,0.99982625,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
119982,0.99982613,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Europe,Consumer,Puerto Rico,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,COMPLETE
2554,0.99982613,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Consumer,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
153738,0.999826,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Canada,Corporate,EE. UU.,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,First Class,CLOSED
49037,0.999826,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
47896,0.9998259,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Caribbean,Corporate,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PROCESSING
106913,0.9998259,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,CLOSED
4987,0.9998259,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Corporate,Puerto Rico,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,PENDING_PAYMENT
130965,0.9998258,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING
83744,0.9998258,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Europe,Consumer,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,CLOSED
170002,0.99982566,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West of USA ,Consumer,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,PENDING
6491,0.99982554,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PENDING
111775,0.9998254,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,EE. UU.,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,COMPLETE
44964,0.9998254,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,Puerto Rico,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PENDING_PAYMENT
170212,0.9998254,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PROCESSING
172076,0.9998254,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Corporate,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,PROCESSING
110537,0.9998253,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Home Office,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
45987,0.9998253,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
33151,0.9998253,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
43322,0.9998253,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
78838,0.9998252,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
138436,0.9998252,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Corporate,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
80461,0.9998252,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Home Office,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
100697,0.99982506,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,CLOSED
126145,0.99982494,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
48451,0.99982494,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,First Class,ON_HOLD
5468,0.99982494,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,Puerto Rico,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,COMPLETE
132437,0.9998248,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Caribbean,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
65767,0.9998248,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",South America,Corporate,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
19297,0.9998247,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,COMPLETE
53540,0.9998247,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Consumer,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,ON_HOLD
80388,0.9998246,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PROCESSING
39732,0.9998246,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Africa,Home Office,EE. UU.,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,First Class,COMPLETE
2597,0.9998246,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East of USA,Home Office,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
85496,0.99982446,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
48350,0.99982446,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
33904,0.99982435,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Europe,Home Office,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
142911,0.99982435,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
13678,0.99982435,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PENDING
7520,0.99982435,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Europe,Home Office,EE. UU.,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,COMPLETE
14217,0.99982435,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PENDING_PAYMENT
52159,0.9998242,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Europe,Corporate,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
153744,0.9998242,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,CLOSED
34,0.9998241,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
3571,0.9998241,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",North Africa,Corporate,Puerto Rico,Team Golf Pittsburgh Steelers Putter Grip,Accessories,Outdoors,First Class,COMPLETE
56981,0.9998241,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Home Office,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
117468,0.999824,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
39035,0.999824,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Home Office,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,COMPLETE
68682,0.99982387,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
126805,0.99982387,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Consumer,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
95450,0.99982387,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Caribbean,Consumer,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
80611,0.99982375,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",North Africa,Home Office,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
73799,0.99982363,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING
115365,0.99982363,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
154371,0.99982363,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Caribbean,Consumer,Puerto Rico,Titleist Pro V1x High Numbers Personalized Go,Electronics,Outdoors,First Class,COMPLETE
9574,0.99982363,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Home Office,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
70044,0.99982363,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
88596,0.9998235,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
73547,0.9998235,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
85428,0.9998234,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Home Office,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
113177,0.9998234,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West of USA ,Home Office,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
41722,0.9998234,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Consumer,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,COMPLETE
35610,0.9998234,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central Asia,Corporate,Puerto Rico,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,First Class,PENDING
62753,0.9998234,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Southern Europe,Home Office,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,PAYMENT_REVIEW
84340,0.99982315,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Caribbean,Consumer,Puerto Rico,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf,First Class,PENDING_PAYMENT
99623,0.99982315,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
99358,0.99982315,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,PROCESSING
158938,0.99982315,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Home Office,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,CLOSED
138470,0.99982315,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Consumer,EE. UU.,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,First Class,COMPLETE
45279,0.9998229,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
144465,0.9998228,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Europe,Corporate,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
172755,0.9998228,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,EE. UU.,Web Camera,Cameras ,Technology,First Class,ON_HOLD
79865,0.9998227,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,PENDING_PAYMENT
135071,0.9998227,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South America,Corporate,EE. UU.,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,PENDING_PAYMENT
60681,0.99982256,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Corporate,Puerto Rico,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,First Class,PROCESSING
149471,0.99982256,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",West Asia,Corporate,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
107572,0.99982244,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East of USA,Consumer,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
54968,0.99982244,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING
121367,0.9998223,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",West Africa,Home Office,EE. UU.,Titleist Pro V1x Golf Balls,Electronics,Outdoors,First Class,COMPLETE
2159,0.9998223,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East of USA,Consumer,Puerto Rico,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,COMPLETE
99556,0.9998222,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
24555,0.9998222,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Northern Europe,Consumer,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,CLOSED
175737,0.9998222,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Oceania,Corporate,Puerto Rico,Men's gala suit,Men's Clothing,Apparel,First Class,PENDING_PAYMENT
63887,0.9998221,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,PENDING
106943,0.9998221,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Asia,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PENDING_PAYMENT
62483,0.99982196,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",East of USA,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
55989,0.99982184,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central Asia,Consumer,EE. UU.,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,PENDING_PAYMENT
122680,0.99982184,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Western Europe,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,ON_HOLD
170418,0.9998217,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Consumer,EE. UU.,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,ON_HOLD
110168,0.9998217,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING_PAYMENT
164934,0.9998217,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Corporate,Puerto Rico,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,COMPLETE
77140,0.9998217,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Western Europe,Corporate,EE. UU.,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,First Class,PROCESSING
42849,0.9998216,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Asia,Consumer,Puerto Rico,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
146768,0.9998216,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",West of USA ,Corporate,Puerto Rico,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,PROCESSING
24254,0.9998216,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Consumer,EE. UU.,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,First Class,CLOSED
80225,0.9998215,High Risk,1,"Mode Risk Flag,Shipping Mode_Standard Class,Shipping Mode_Same Day",Central America,Home Office,EE. UU.,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,First Class,ON_HOLD
129805,0.9998215,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Eastern Asia,Consumer,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,ON_HOLD
22907,0.9998215,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,First Class,PENDING
64748,0.9998215,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",South Asia,Corporate,Puerto Rico,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,First Class,COMPLETE
87837,0.9998215,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,COMPLETE
6190,0.99982125,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Oceania,Home Office,Puerto Rico,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,First Class,PENDING_PAYMENT
67872,0.99982125,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",US Center ,Home Office,EE. UU.,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,First Class,COMPLETE
136003,0.99982125,High Risk,1,"Mode Risk Flag,Shipping Mode_Same Day,Shipping Mode_Standard Class",Central America,Consumer,EE. UU.,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,First Class,COMPLETE
